"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JSON", "Inno Setup", "PostCSS", "HTML", "JavaScript", "Batch", "XML", "PowerShell", "TypeScript JSX", "SCSS", "comment", "blank", "total"
"d:\JavaScript\zapret-gui\modules\actions\discordCacheCleaner.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\JavaScript\zapret-gui\modules\actions\hostsChanger.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18, 104
"d:\JavaScript\zapret-gui\modules\actions\saveLogs.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 36
"d:\JavaScript\zapret-gui\modules\actions\scheduler.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 54
"d:\JavaScript\zapret-gui\modules\actions\updateGuboril.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13, 116
"d:\JavaScript\zapret-gui\modules\cli\argsParser.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 48
"d:\JavaScript\zapret-gui\modules\cli\cli.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 69
"d:\JavaScript\zapret-gui\modules\decor\hexToRGB.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 23
"d:\JavaScript\zapret-gui\modules\decor\reverseColors.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"d:\JavaScript\zapret-gui\modules\fixes\warpFix.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"d:\JavaScript\zapret-gui\modules\tasks\logger.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 92
"d:\JavaScript\zapret-gui\modules\tasks\myNotifcations.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 23
"d:\JavaScript\zapret-gui\modules\tasks\tray.ts", "TypeScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 69
"d:\JavaScript\zapret-gui\package-lock.json", "JSON", 0, 0, 0, 5756, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5757
"d:\JavaScript\zapret-gui\package.json", "JSON", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 45
"d:\JavaScript\zapret-gui\preloads\loadingWin\preload.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13
"d:\JavaScript\zapret-gui\preloads\mainWindow\preload.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 9, 71
"d:\JavaScript\zapret-gui\public\global\styles\style.css", "PostCSS", 0, 0, 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 32, 105
"d:\JavaScript\zapret-gui\public\images\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\JavaScript\zapret-gui\public\loadingWin\loadingWin.css", "PostCSS", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 2, 70
"d:\JavaScript\zapret-gui\public\loadingWin\loadingWin.html", "HTML", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 31
"d:\JavaScript\zapret-gui\public\loadingWin\loadingWin.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 23
"d:\JavaScript\zapret-gui\public\loadingWin\preload.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"d:\JavaScript\zapret-gui\public\mainwindowr\index.html", "HTML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\JavaScript\zapret-gui\public\mainwindowr\loading.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 3
"d:\JavaScript\zapret-gui\public\mainwindowr\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\SettingBlock\SettingBlock.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 1, 0, 30
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\SettingBlock\SettingBlock.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 3, 25
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\SettingsFrame.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 38
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\SettingsFrame.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 6, 67
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\Tab.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\Tab.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 0, 1, 3, 34
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabPanel.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 3, 11
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\Icon.d.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\debug\icon.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\general\general.module.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\general\general.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 80, 0, 0, 4, 84
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\general\icon.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\instruments\icon.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\ipset\icon.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 5
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\download.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\icon.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\open_folder.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\JavaScript\zapret-gui\public\mainwindowr\src\Components\Frames\SettingsFrame\Tab\TabsContent\strategies\plus.svg.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
